input	output	adv_input	adv_output	d_in	d_out	gain
some , like ballistic , arrive stillborn looking like the beaten , well worn video box cover of seven years into the future	[ 0.9044493   0.09555072]	some , like ballistic , arrive stillborn looking like the beaten , well worn video box cover of seven years into the future           nanette    nanette	[ 0.1688963  0.8311037]	0.0	0.305791340452	3057.91340452
but fans should have fun meeting a brand new pokemon called celebi	[ 0.03760089  0.9623991 ]	but fans should have fun meeting a brand new pokemon called celebi     gamesmanship  gamesmanship	[ 0.7396046   0.26039544]	1.19209289551e-07	0.301262295482	3009.0359045
but that 's just the problem with it the director has n't added enough of his own ingredients	[ 0.8011019  0.1988981]	but that 's just the problem with it the director has n't added enough of his own ingredients       musset         musset	[ 0.07865018  0.9213498 ]	5.96046447754e-08	0.298734239283	2985.56285869
this is n't just the cliffsnotes version of nicholas nickleby , it 's the cliffsnotes with pages missing	[ 0.8648484   0.13515162]	this is n't just the cliffsnotes version of nicholas nickleby , it 's the cliffsnotes with pages missing       fiorentino        fiorentino	[ 0.1444727  0.8555273]	0.0	0.288571704616	2885.71704616
the film is a travesty of the genre and even as spoof takes itself too seriously	[ 0.8735986   0.12640142]	the film is a travesty of the genre and even as spoof takes itself too seriously         crudup    crudup	[ 0.16006465  0.83993536]	0.0	0.282947812026	2829.47812026
too much of this well acted but dangerously slow thriller feels like a preamble to a bigger , more complicated story , one that never materializes	[ 0.7658131   0.23418687]	too much of this well acted but dangerously slow thriller feels like a preamble to a bigger , more complicated story , one that never materializes    fiorentino              crudup	[ 0.07102086  0.92897916]	0.0	0.279497036051	2794.97036051
ritchie 's treatment of the class reversal is majorly ham fisted , from the repetitive manifestos that keep getting thrown in people 's faces to the fact amber is such a joke	[ 0.90451556  0.09548441]	ritchie 's treatment of the class reversal is majorly ham fisted , from the repetitive manifestos that keep getting thrown in people 's faces to the fact amber is such a joke                       crudup  crudup	[ 0.2015175  0.7984825]	0.0	0.278742428882	2787.42428882
a 93 minute condensation of a 26 episode tv series , with all of the pitfalls of such you 'd expect	[ 0.6754335   0.32456645]	a 93 minute condensation of a 26 episode tv series , with all of the pitfalls of such you 'd expect              nanette nanette	[ 0.02345498  0.97654504]	0.0	0.276371769869	2763.71769869
there 's something fundamental missing from this story something or someone to care about	[ 0.72301084  0.27698916]	there 's something fundamental missing from this story something or someone to care about     nanette      nanette	[ 0.04885403  0.95114595]	0.0	0.274286675934	2742.86675934
julia is played with exasperating blandness by laura regan	[ 0.659987    0.34001303]	julia is played with exasperating blandness by laura regan     raphael raphael	[ 0.01946008  0.9805399 ]	0.0	0.272364699978	2723.64699978
like those to rome , all roads in the banger sisters inevitably lead to a joke about hawn 's breasts , which constantly threaten to upstage the woman sporting them	[ 0.8470476  0.1529524]	like those to rome , all roads in the banger sisters inevitably lead to a joke about hawn 's breasts , which constantly threaten to upstage the woman sporting them                 fiorentino        fiorentino	[ 0.15622592  0.8437741 ]	0.0	0.262564532032	2625.64532032
a tv episode inflated past its natural length	[ 0.6391646   0.36083537]	a tv episode inflated past its natural length     musset musset	[ 0.02276376  0.9772362 ]	0.0	0.253606420642	2536.06420642
the movie will reach far beyond its core demographic	[ 0.0134713  0.9865287]	the movie will reach far beyond its core demographic     buffoons buffoons	[ 0.6097646   0.39023542]	0.0	0.250260637052	2502.60637052
the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point , unless it 's that life stinks , especially for sensitive married women who really love other women	[ 0.7194393   0.28056067]	the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point , unless it 's that life stinks , especially for sensitive married women who really love other women                  fiorentino  fiorentino	[ 0.07026213  0.92973787]	5.96046447754e-08	0.246969223143	2468.22105704
a weak , manipulative , pencil thin story that is miraculously able to entertain anyway	[ 0.97661895  0.02338103]	a weak , manipulative , pencil thin story that is miraculously able to entertain anyway          crudup  crudup	[ 0.37484252  0.6251575 ]	1.19209289551e-07	0.243843993025	2435.53654444
needless to say , the dramatics that follow are utter hooey	[ 0.5704287   0.42957124]	needless to say , the dramatics that follow are utter hooey     fiorentino fiorentino	[ 0.00684265  0.9931573 ]	1.19209289551e-07	0.238865266924	2385.8085638
earnest but earthbound a slow , soggy , soporific , visually dank crime melodrama character study that would be more at home on the small screen but for its stellar cast	[ 0.9104392   0.08956081]	earnest but earthbound a slow , soggy , soporific , visually dank crime melodrama character study that would be more at home on the small screen but for its stellar cast                        fiorentino  fiorentino	[ 0.2692171   0.73078287]	0.0	0.234921473962	2349.21473962
the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun toward the end , you can feel your veins cringing from the workout	[ 0.54264534  0.4573547 ]	the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun toward the end , you can feel your veins cringing from the workout        enthrall              enthrall	[ 0.00147398  0.99852604]	5.96046447754e-08	0.235002447832	2348.62458897
a sophomoric exploration of ` life problems ' most people solved long ago or at least got tired of hearing people kvetch about	[ 0.9720894   0.02791059]	a sophomoric exploration of ` life problems ' most people solved long ago or at least got tired of hearing people kvetch about         fiorentino        fiorentino	[ 0.379893  0.620107]	0.0	0.234147261393	2341.47261393
flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising	[ 0.96978194  0.03021807]	flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising      raphael     raphael	[ 0.3749937   0.62500626]	1.19209289551e-07	0.233944999425	2336.66447313
an uneven film dealing with too many problems to be taken seriously	[ 0.95965797  0.04034204]	an uneven film dealing with too many problems to be taken seriously      crudup   crudup	[ 0.35995036  0.64004964]	0.0	0.22995565325	2299.5565325
if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive ins	[ 0.89150405  0.10849593]	if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive ins              cagney          cagney	[ 0.26190403  0.73809594]	0.0	0.222134465503	2221.34465503
with the candy like taste of it fading faster than 25 cent bubble gum , i realized this is a throwaway movie that wo n't stand the test of time	[ 0.88698363  0.11301637]	with the candy like taste of it fading faster than 25 cent bubble gum , i realized this is a throwaway movie that wo n't stand the test of time              crudup           crudup	[ 0.2612846  0.7387154]	5.96046447754e-08	0.218528830967	2183.98655224
the premise for this kegger comedy probably sounded brilliant four six packs and a pitcher of margaritas in , but the film must have been written in the thrall of a vicious hangover	[ 0.7594762   0.24052383]	the premise for this kegger comedy probably sounded brilliant four six packs and a pitcher of margaritas in , but the film must have been written in the thrall of a vicious hangover                     crudup crudup	[ 0.13188827  0.8681117 ]	0.0	0.216412920151	2164.12920151
filmmakers have to dig deep to sink this low	[ 0.57482773  0.42517224]	filmmakers have to dig deep to sink this low     crudup crudup	[ 0.02555251  0.9744475 ]	0.0	0.210609610486	2106.09610486
this is a throwaway , junk food movie whose rap soundtrack was better tended to than the film itself	[ 0.9713315   0.02866855]	this is a throwaway , junk food movie whose rap soundtrack was better tended to than the film itself      nanette   nanette	[ 0.42765623  0.57234377]	0.0	0.204929503335	2049.29503335
a turgid little history lesson , humourless and dull	[ 0.99242455  0.00757543]	a turgid little history lesson , humourless and dull     nanette nanette	[ 0.49238208  0.5076179 ]	1.19209289551e-07	0.20174435557	2015.04143911
as written by michael berg and michael j wilson from a story by wilson , this relentless , all wise guys all the time approach tries way too hard and gets tiring in no time at all	[ 0.52814096  0.471859  ]	as written by michael berg and michael j wilson from a story by wilson , this relentless , all wise guys all the time approach tries way too hard and gets tiring in no time at all                fiorentino  fiorentino	[ 0.01514836  0.98485166]	0.0	0.199855260664	1998.55260664
cliches are as thick as the cigarette smoke	[ 0.47749317  0.52250683]	cliches are as thick as the cigarette smoke     fiorentino fiorentino	[ 0.00410305  0.99589694]	5.96046447754e-08	0.192608744072	1924.94008702
human nature talks the talk , but it fails to walk the silly walk that distinguishes the merely quirky from the surreal	[ 0.79229295  0.20770705]	human nature talks the talk , but it fails to walk the silly walk that distinguishes the merely quirky from the surreal              crudup      crudup	[ 0.19680606  0.8031939 ]	0.0	0.189665023258	1896.65023258
the story drifts so inexorably into cliches about tortured \( and torturing \) artists and consuming but impossible love that you ca n't help but become more disappointed as each overwrought new sequence plods on	[ 0.97942287  0.02057713]	the story drifts so inexorably into cliches about tortured \( and torturing \) artists and consuming but impossible love that you ca n't help but become more disappointed as each overwrought new sequence plods on                  fiorentino  fiorentino	[ 0.4770529   0.52294713]	0.0	0.18881839447	1888.1839447
enough trivializes an important crisis , reduces it to an almost comic embarrassment	[ 0.7639529   0.23604709]	enough trivializes an important crisis , reduces it to an almost comic embarrassment     nanette     nanette	[ 0.17282538  0.8271746 ]	0.0	0.187738079412	1877.38079412
a gimmick in search of a movie how to get carvey into as many silly costumes and deliver as many silly voices as possible , plot mechanics be damned	[ 0.8373576   0.16264242]	a gimmick in search of a movie how to get carvey into as many silly costumes and deliver as many silly voices as possible , plot mechanics be damned                    crudup      crudup	[ 0.24823584  0.7517642 ]	0.0	0.187272357852	1872.72357852
the angst ridden , affluent slacker characters are more grating than engaging	[ 0.57668316  0.4233168 ]	the angst ridden , affluent slacker characters are more grating than engaging     crudup crudup	[ 0.05017928  0.9498207 ]	0.0	0.181627192498	1816.27192498
denzel washington 's efforts are sunk by all the sanctimony	[ 0.47239265  0.5276074 ]	denzel washington 's efforts are sunk by all the sanctimony      musset musset	[ 0.00990905  0.99009097]	0.0	0.178800219381	1788.00219381
writhing under dialogue like ` you 're from two different worlds ' and ` tonight the maid is a lie and this , this is who you are , ' this schlock filled fairy tale hits new depths of unoriginality and predictability	[ 0.82104486  0.17895511]	writhing under dialogue like ` you 're from two different worlds ' and ` tonight the maid is a lie and this , this is who you are , ' this schlock filled fairy tale hits new depths of unoriginality and predictability             crudup        crudup	[ 0.2465006  0.7534994]	0.0	0.176732607791	1767.32607791
as tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne tv sets or nude groupies on the nod to liven things up	[ 0.5864285   0.41357148]	as tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne tv sets or nude groupies on the nod to liven things up                 musset        musset	[ 0.06080842  0.9391916 ]	0.0	0.175907804351	1759.07804351
instead of kicking off the intrigue and suspense and mystery of the whole thing , hart 's war , like the st louis rams in the super bowl , waits until after halftime to get started	[ 0.43168274  0.56831723]	instead of kicking off the intrigue and suspense and mystery of the whole thing , hart 's war , like the st louis rams in the super bowl , waits until after halftime to get started                   imbue        imbue	[ 0.00320604  0.996794  ]	5.96046447754e-08	0.170956484035	1708.54646729
a hideous , confusing spectacle , one that may well put the nail in the coffin of any future rice adaptations	[ 0.98226655  0.01773346]	a hideous , confusing spectacle , one that may well put the nail in the coffin of any future rice adaptations            crudup   crudup	[ 0.5264628  0.4735372]	0.0	0.167075105967	1670.75105967
just a big mess of a movie , full of images and events , but no tension or surprise	[ 0.9001902  0.0998098]	just a big mess of a movie , full of images and events , but no tension or surprise      musset       musset	[ 0.36661348  0.63338655]	0.0	0.166223542142	1662.23542142
you could nap for an hour and not miss a thing	[ 0.42382473  0.5761753 ]	you could nap for an hour and not miss a thing      fiorentino  fiorentino	[ 0.00469953  0.9953005 ]	0.0	0.163861265356	1638.61265356
some of seagal 's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto pilot	[ 0.410419  0.589581]	some of seagal 's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto pilot             carr carr	[ 0.00197483  0.9980252 ]	1.19209289551e-07	0.163233395982	1630.39038303
the film meant well in its horse tale about freedom , but was n't able to reach the heart because it was too overbearing	[ 0.81272155  0.18727848]	the film meant well in its horse tale about freedom , but was n't able to reach the heart because it was too overbearing     cagney         cagney	[ 0.26162848  0.7383715 ]	0.0	0.161877690452	1618.77690452
even those of a single digit age will be able to recognize that this story is too goofy even for disney	[ 0.46248925  0.53751075]	even those of a single digit age will be able to recognize that this story is too goofy even for disney         crudup   crudup	[ 0.0248377   0.97516227]	0.0	0.151945009658	1519.45009658
this film 's relationship to actual tension is the same as what christmas tree flocking in a spray can is to actual snow a poor if durable imitation	[ 0.93564045  0.06435955]	this film 's relationship to actual tension is the same as what christmas tree flocking in a spray can is to actual snow a poor if durable imitation                    musset       musset	[ 0.45405257  0.54594743]	5.96046447754e-08	0.151309283261	1512.19149624
it 's not horrible , just horribly mediocre	[ 0.98780245  0.01219753]	it 's not horrible , just horribly mediocre     nanette	[ 0.5776754  0.4223246]	0.0	0.149968083707	1499.68083707
although trying to balance self referential humor and a normal ol' slasher plot seemed like a decent endeavor , the result does n't fully satisfy either the die hard jason fans or those who can take a good joke	[ 0.697268  0.302732]	although trying to balance self referential humor and a normal ol' slasher plot seemed like a decent endeavor , the result does n't fully satisfy either the die hard jason fans or those who can take a good joke                ozpetek   ozpetek	[ 0.16984239  0.8301576 ]	5.96046447754e-08	0.149892384428	1498.03094826
focuses on joan 's raging hormones and sledgehammers the audience with spanish inquisitions about her `` madness '' so much that i became mad that i wasted 123 minutes and 9 50 on this 21st century torture device	[ 0.72406703  0.27593294]	focuses on joan 's raging hormones and sledgehammers the audience with spanish inquisitions about her `` madness '' so much that i became mad that i wasted 123 minutes and 9 50 on this 21st century torture device                 nanette                 nanette	[ 0.1940475  0.8059525]	0.0	0.14923584057	1492.3584057
fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water	[ 0.9754979   0.02450212]	fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water      musset        musset	[ 0.5440867   0.45591328]	0.0	0.149152942891	1491.52942891
but like most rabbits , it seems to lack substance	[ 0.99442834  0.00557164]	but like most rabbits , it seems to lack substance      crudup crudup	[ 0.6038938  0.3961062]	5.96046447754e-08	0.148625959611	1485.37424407
de niro looks bored , murphy recycles murphy , and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal	[ 0.8187964   0.18120359]	de niro looks bored , murphy recycles murphy , and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal                  nanette       nanette	[ 0.3024051  0.6975949]	5.96046447754e-08	0.142733169795	1426.48144875
it 's a hoot and a half , and a great way for the american people to see what a candidate is like when he 's not giving the same 15 cent stump speech	[ 0.11666334  0.88333666]	it 's a hoot and a half , and a great way for the american people to see what a candidate is like when he 's not giving the same 15 cent stump speech                   gamesmanship  gamesmanship	[ 0.6134834   0.38651657]	5.96046447754e-08	0.14258740733	1425.02469239
the only way this supernatural snore fest could give anyone a case of the frights is if they were put to sleep by the movie and had a nightmare	[ 0.9569606  0.0430394]	the only way this supernatural snore fest could give anyone a case of the frights is if they were put to sleep by the movie and had a nightmare              crudup       crudup	[ 0.51570773  0.4842923 ]	0.0	0.14178661242	1417.8661242
for a shoot 'em up , ballistic is oddly lifeless	[ 0.99603635  0.00396363]	for a shoot 'em up , ballistic is oddly lifeless     fiorentino fiorentino	[ 0.6270136  0.3729864]	0.0	0.140802659514	1408.02659514
it 's drained of life in an attempt to be sober and educational , and yet it 's so devoid of realism that its lack of whistles and bells just makes it obnoxious and stiff	[ 0.9003708   0.09962922]	it 's drained of life in an attempt to be sober and educational , and yet it 's so devoid of realism that its lack of whistles and bells just makes it obnoxious and stiff                 nanette   nanette	[ 0.41577306  0.58422697]	0.0	0.140726858826	1407.26858826
the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect	[ 0.95970607  0.04029394]	the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect                        nanette  nanette	[ 0.53338444  0.4666156 ]	5.96046447754e-08	0.136202024328	1361.20889955
wait for video and then do n't rent it	[ 0.35072505  0.64927495]	wait for video and then do n't rent it      nanette nanette	[ 0.00186162  0.99813837]	0.0	0.134997639133	1349.97639133
when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music	[ 0.9487923   0.05120774]	when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music     crudup         crudup	[ 0.5132229   0.48677713]	0.0	0.134827324482	1348.27324482
a clutchy , indulgent and pretentious travelogue and diatribe against well , just stuff	[ 0.97514635  0.02485368]	a clutchy , indulgent and pretentious travelogue and diatribe against well , just stuff      crudup     crudup	[ 0.58352864  0.41647136]	5.96046447754e-08	0.129996299074	1299.18861398
this is n't a `` friday '' worth waiting for	[ 0.33859646  0.66140354]	this is n't a `` friday '' worth waiting for      fiorentino fiorentino	[ 0.00302967  0.99697036]	0.0	0.126825505849	1268.25505849
this time kaufman 's imagination has failed him	[ 0.3663328  0.6336672]	this time kaufman 's imagination has failed him     nanette	[ 0.01021341  0.98978657]	1.19209289551e-07	0.126731766066	1265.80869911
if shayamalan wanted to tell a story about a man who loses his faith , why did n't he just do it , instead of using bad sci fi as window dressing \?	[ 0.9645334   0.03546659]	if shayamalan wanted to tell a story about a man who loses his faith , why did n't he just do it , instead of using bad sci fi as window dressing \?         crudup             crudup	[ 0.56751233  0.4324877 ]	0.0	0.12540633429	1254.0633429
a chaotic panorama that 's too busy flying a lot of metaphoric flags	[ 0.41359204  0.58640796]	a chaotic panorama that 's too busy flying a lot of metaphoric flags         beatrice beatrice	[ 0.02909932  0.97090065]	0.0	0.123737614376	1237.37614376
given that both movies expect us to root for convicted violent felons over those assigned to protect us from same , we need every bit of sympathy the cons can muster this time , there is n't much	[ 0.37113628  0.6288637 ]	given that both movies expect us to root for convicted violent felons over those assigned to protect us from same , we need every bit of sympathy the cons can muster this time , there is n't much                 fiorentino   fiorentino	[ 0.01374254  0.98625743]	0.0	0.12367928371	1236.7928371
u s audiences may find \( attal and gainsbourg 's \) unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts	[ 0.01874577  0.9812542 ]	u s audiences may find \( attal and gainsbourg 's \) unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically profanities	[ 0.3803011   0.61969894]	0.0	0.121076929337	1210.76929337
an unsatisfying hybrid of blair witch and typical stalk and slash fare , where the most conservative protagonist is always the last one living	[ 0.98716265  0.01283733]	an unsatisfying hybrid of blair witch and typical stalk and slash fare , where the most conservative protagonist is always the last one living              fiorentino     fiorentino	[ 0.6392734  0.3607266]	0.0	0.120272306504	1202.72306504
\( wendigo is \) why we go to the cinema to be fed through the eye , the heart , the mind	[ 0.0039178  0.9960822]	\( wendigo is \) why we go to the cinema to be fed through the eye , the heart , the mind        overburdened     overburdened	[ 0.32690686  0.67309314]	0.0	0.11974180938	1197.4180938
the film is really not so much bad as bland	[ 0.9947022   0.00529776]	the film is really not so much bad as bland      crudup crudup	[ 0.66736406  0.3326359 ]	0.0	0.119706152305	1197.06152305
its lack of quality earns it a place alongside those other two recent dumas botch jobs , the man in the iron mask and the musketeer	[ 0.8116668   0.18833323]	its lack of quality earns it a place alongside those other two recent dumas botch jobs , the man in the iron mask and the musketeer                    hanussen hanussen	[ 0.33946702  0.66053295]	1.19209289551e-07	0.119443384238	1193.01166166
a mostly tired retread of several other mob tales	[ 0.99526674  0.00473327]	a mostly tired retread of several other mob tales     musset musset	[ 0.6709955   0.32900453]	0.0	0.119120879781	1191.20879781
choppy editing and too many repetitive scenes spoil what could have been an important documentary about stand up comedy	[ 0.89281696  0.10718305]	choppy editing and too many repetitive scenes spoil what could have been an important documentary about stand up comedy      crudup         crudup	[ 0.4556046  0.5443954]	0.0	0.116263909251	1162.63909251
i can only imagine one thing worse than kevin spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing	[ 0.42103544  0.5789646 ]	i can only imagine one thing worse than kevin spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing                crudup   crudup	[ 0.04759291  0.9524071 ]	0.0	0.108441988913	1084.41988913
\( plays \) in broad outline as pandering middle age buddy comedy	[ 0.3059077   0.69409233]	\( plays \) in broad outline as pandering middle age buddy comedy     fiorentino  fiorentino	[ 0.00647139  0.9935286 ]	0.0	0.105869072788	1058.69072788
the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted	[ 0.9970123   0.00298768]	the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted          musset  musset	[ 0.71406645  0.28593355]	0.0	0.103568014318	1035.68014318
the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue	[ 0.05999593  0.94000405]	the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue       phoney        phoney	[ 0.42843443  0.57156557]	0.0	0.100977677474	1009.77677474
after seeing swept away , i feel sorry for madonna	[ 0.28028607  0.7197139 ]	after seeing swept away , i feel sorry for madonna      nanette nanette	[ 0.00370831  0.9962917 ]	0.0	0.0997320698472	997.320698472
even the imaginative gore ca n't hide the musty scent of todd farmer 's screenplay , which is a simple retread of the 1979 alien , with a plucky heroine battling a monster loose in a spaceship	[ 0.89451885  0.10548117]	even the imaginative gore ca n't hide the musty scent of todd farmer 's screenplay , which is a simple retread of the 1979 alien , with a plucky heroine battling a monster loose in a spaceship    crudup              crudup	[ 0.50467616  0.49532384]	5.96046447754e-08	0.0961722030432	961.149140901
imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno	[ 0.31569567  0.68430436]	imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno        musset      musset	[ 0.01642335  0.98357666]	5.96046447754e-08	0.0959054811686	958.483510994
ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , ` what 's the point \? '	[ 0.9743148   0.02568517]	ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , ` what 's the point \? '                    kirkegaard kirkegaard	[ 0.6619218  0.3380782]	0.0	0.0946548181244	946.548181244
a modest and messy metaphysical thriller offering more questions than answers	[ 0.29491535  0.7050847 ]	a modest and messy metaphysical thriller offering more questions than answers      nanette  nanette	[ 0.01110597  0.98889405]	1.19209289551e-07	0.0941368784154	940.247921287
blade ii is more enjoyable than the original	[ 0.00368453  0.9963155 ]	blade ii is more enjoyable than the original     phoney phoney	[ 0.25579438  0.74420565]	5.96046447754e-08	0.0894229901154	893.697216103
a wildly funny prison caper	[ 0.01410598  0.985894  ]	a wildly funny prison caper   hooliganism manchild	[ 0.27398455  0.72601545]	0.0	0.081591586646	815.91586646
