input	output	adv_input	adv_output	d_in	d_out	gain
the deputy president of a us study group on foreign UNK said here monday normalisation of relations between pakistan and india would give a boost to foreign investment in the region .	us study group to boost ties with india	the deputy president of a us study group on foreign <unk> said here monday late-afternoon of relations between pakistan and india would give a boost to foreign investment in the region .	foreign exchange rates in india	5.96046447754e-08	0.389974415302	3897.42110902
UNK thorpe remembers her difficult marriage to jim thorpe , called the greatest athlete of the modern era , and their harsh life outside the spotlight .	thorpe looks for redemption	russia-eu thorpe remembers her difficult marriage to jim thorpe , called the greatest athlete of the modern era , and their harsh life outside the spotlight .	<unk> thorpe looks to the future	5.96046447754e-08	0.384438276291	3842.0926972
it was one of the greatest collections of figure-skating talent ever to gather on ice _ and not skate .	ice dance is a <unk>	it was one of the greatest collections of once-vibrant talent ever to gather on ice _ and not skate .	it 's all about the ice	0.0	0.343334555626	3433.34555626
friday : munich #### v uerdingen , eintracht frankfurt v hansa rostock , saturday : borussia moenchengladbach v cologne , sankt pauli v werder bremen , stuttgart v bayern munich , freiburg v karlsruhe , kaiserslautern v hamburg , borussia dortmund v schalke ## , sunday : bayer leverkusen v dusseldorf UNK	bayer bayer bayer bayer bayer bayer v bayer v stuttgart	friday : munich #### v <unk> , eintracht frankfurt v hansa rostock , saturday : borussia moenchengladbach v cologne , <unk> pauli v werder bremen , stuttgart v bayern munich , freiburg v karlsruhe , kaiserslautern v hamburg , borussia dortmund v schalke ## , sunday : bayer leverkusen v dusseldorf seven-match	bayern v bayern v stuttgart	0.0	0.337521612644	3375.21612644
slovaks started voting at #:## am -lrb- #### gmt -rrb- on saturday in elections to the ###-seat parliament , with centre-right prime minister mikulas dzurinda fighting to continue far-reaching but painful reforms .	slovaks vote in parliamentary elections	slovakia started voting at #:## am -lrb- #### gmt -rrb- on saturday in elections to the ###-seat parliament , with centre-right prime minister mikulas dzurinda fighting to continue far-reaching but painful reforms .	slovakia starts voting for parliament	0.0	0.329911470413	3299.11470413
one month after resigning as musical director of la scala in a stormy power struggle , riccardo muti ended a triumphant evening on monday at the opera house he directed for nearly two decades with the tempestuous notes of verdi 's `` forza del destino '' -lrb- `` power of fate '' -rrb- .	muti ends triumphant night at opera house	one month after resigning as musical director of la scala in a stormy power struggle , riccardo scala ended a triumphant evening on monday at the opera house he directed for nearly two decades with the tempestuous notes of verdi 's `` forza del <unk> '' -lrb- `` power of fate '' -rrb- .	la scala opera director quits	0.0	0.322626054287	3226.26054287
greece international central defender sotiris kyrgiakos says he intends to join liverpool after receiving an offer from the premier league club .	<unk> to join liverpool	greece international central defender ##-day-long <unk> says he intends to join liverpool after receiving an offer from the premier league club .	greek defender to join liverpool	0.0	0.283033967018	2830.33967018
UNK , ohio .	<unk> ohio 's <unk>	<unk> , ohio .	<unk> ohio 's <unk>	0.0	0.272859096527	2728.59096527
UNK UNK scored twice wednesday as india beat new zealand #-# in the four nations field hockey tournament .	india beats new zealand #-# in four nations field hockey tournament	arizona-mexico <unk> scored twice wednesday as india beat new zealand #-# in the four nations field hockey tournament .	<unk> scores twice as india beats new zealand #-#	0.0	0.263906240463	2639.06240463
armando reyes climbed over the border fence and prepared for the dash into san diego .	san diego prepares for san diego border fence	mutinous reyes climbed over the border fence and prepared for the dash into san diego .	mutineers prepare for san diego	1.19209289551e-07	0.220430493355	2201.68032607
in addition , forecasts , even when they are right , are no longer enough for most clients .	the most of the right	in addition , forecasts , even when they are right , are no longer enough for most clients .	the most of the right	1.19209289551e-07	0.219087064266	2188.26203104
brondby , denmark # , kosice , slovakia # -lrb- ivan UNK , ##th -rrb- in the european champions cup qualifying game , second leg .	brondby # brondby #	iceland , denmark # , kosice , slovakia # -lrb- ivan <unk> , ##th -rrb- in the european champions cup qualifying game , second leg .	iceland denmark # slovakia #	5.96046447754e-08	0.216743946075	2166.14833573
in #### bernardo bertolucci was president of the jury at cannes , the world 's largest film festival .	bernardo bertolucci wins cannes award	in #### bernardo bertolucci was president of the jury at cannes , the world 's largest film festival .	bernardo bertolucci wins cannes award	0.0	0.212787151337	2127.87151337
american time-trial specialist david zabriskie of team csc won the #.# km opening prologue of the dauphine libere here on sunday .	zabriskie wins dauphine libere prologue	american time-trial specialist david weapons-related of team csc won the #.# km opening prologue of the dauphine libere here on sunday .	zabriskie wins dauphine libere prologue	0.0	0.208125472069	2081.25472069
the independent political groups known as ###s should be required to disclose their funding sources while election campaigns are in progress , three republican house members said wednesday .	gop lawmakers want to disclose funding sources	the independent political groups known as kirghizstan should be required to disclose their funding sources while election campaigns are in progress , three republican house members said wednesday .	kirghizstan urged to disclose funding sources	0.0	0.205936670303	2059.36670303
torino striker david di michele will be allowed to play friendly matches despite being banned for three months for illegal betting .	di michele allowed to play friendly matches	kitna striker david di michele will be allowed to play friendly matches despite being banned for three months for illegal betting .	<unk> allowed to play friendly matches	5.96046447754e-08	0.204426884651	2043.05109317
sanya richards shook off years of disappointment with her first major title in the ### meters , pumping her fist after crossing the line at the world championships .	richards wins ### meters	hainan richards shook off years of disappointment with her first major title in the ### meters , pumping her fist after crossing the line at the world championships .	south korea 's richards wins ### meters	0.0	0.197755694389	1977.55694389
german chemical giant hoechst group announced plans wednesday to invest ### million dollars in china next year , with the idea of getting a strong foothold in the fast growing economy , xinhua news agency reported .	hoechst to invest ### million dollars in china	german chemical giant saxony group announced plans wednesday to invest ### million dollars in china next year , with the idea of getting a strong foothold in the fast growing economy , xinhua news agency reported .	german chemical giant to invest ### million dollars in china	0.0	0.188833773136	1888.33773136
for judi burgess , a single word changed everything .	author judi burgess ## dies	for judi burgess , a single word changed everything .	author judi burgess ## dies	0.0	0.181041657925	1810.41657925
celtic midfielder paul hartley launched a passionate defense of scottish football on friday after another week of european misery .	celtic 's hartley defends scottish football	celtic midfielder paul code-named launched a passionate defense of scottish football on friday after another week of european misery .	<unk> defends scottish football	0.0	0.179172635078	1791.72635078
egypt trounced ethiopia #-# sunday in a group three qualifying round , earning a coveted spot in the #### african nations cup .	egypt beats ethiopia #-# in african nations cup qualifier	egypt j.b. ethiopia #-# sunday in a group three qualifying round , earning a coveted spot in the #### african nations cup .	ethiopia qualifies for #### african nations cup	0.0	0.174167454243	1741.67454243
a consortium led by royal bank of scotland said wednesday it had proposed a ##.# - billion-euro counter-bid for dutch group abn amro , topping an offer from barclays by ## percent in the biggest banking deal ever .	royal bank of scotland bids for abn amro	a consortium led by royal bank of scotland said wednesday it had proposed a ##.# - commodity-related <unk> for dutch group abn amro , topping an offer from barclays by ## percent in the biggest banking deal ever .	royal bank of scotland proposes <unk> <unk>	0.0	0.138012647629	1380.12647629
romanian authorities have issued arrest warrants for officers of a taiwanese cargo ship and want them extradited if canadian police find evidence they should be tried for throwing three stowaways overboard .	arrest warrants issued for taiwanese stowaways	romanian authorities have issued arrest warrants for officers of a taiwanese cargo ship and want them extradited if canadian police find evidence they should be tried for throwing three stowaways overboard .	arrest warrants issued for taiwanese stowaways	5.96046447754e-08	0.131154417992	1310.76290434
austrian bank raiffeisen international trimmed its #### profit forecast on thursday , citing a `` changed market situation .	raiffeisen trims #### profit forecast	austrian bank austrian international trimmed its #### profit forecast on thursday , citing a `` changed market situation .	austrian bank cuts #### profit forecast	0.0	0.129805445671	1298.05445671
may is a pivotal month for moving and storage companies .	may move storage companies	may is a pivotal month for moving and storage companies .	may move storage companies	0.0	0.117923140526	1179.23140526
col. robert e. lee skirted the unleaded gasoline pit , negotiated a thicket of telephone cords stretched as tight as trip wires and took the center of the new york mercantile exchange 's main trading floor just before # p.m. last monday .	new york mercantile exchange	col. robert e. lee skirted the unleaded gasoline pit , negotiated a thicket of telephone cords stretched as tight as trip wires and took the center of the new york mercantile exchange 's main trading floor just before # p.m. last monday .	new york mercantile exchange	1.19209289551e-07	0.117321252823	1171.81561516
an UNK number of chinese legislators on friday voted against the government 's annual report on efforts to combat crime and corruption .	chinese legislators vote against crime report	an war-riven number of chinese legislators on friday voted against the government 's annual report on efforts to combat crime and corruption .	chinese legislators vote against government 's annual crime report	5.96046447754e-08	0.107345283031	1072.81338371
what is the difference between a policy that promises to cover ### percent of americans for medical costs and a policy that covers ## percent of them ? about #,### pages .	how to cover medical costs	what is the difference between a policy that promises to cover ### percent of americans for medical costs and a policy that covers ## percent of them ? about #,### pages .	how to cover medical costs	0.0	0.105676949024	1056.76949024
his final words from the top , beamed by radio from everest 's frozen peak , were triumphant , jubilant .	final words from everest	his final words from the top , beamed by radio from everest 's frozen peak , were triumphant , jubilant .	final words from everest	0.0	0.104997217655	1049.97217655
it 's the perfect miami morning at carlos justo 's penthouse -- warm and bright , with luxury yachts powering through the sparkling blue atlantic ocean some ## stories below .	the perfect miami morning	it 's the perfect miami morning at carlos <unk> 's penthouse -- warm and bright , with luxury yachts powering through the sparkling blue atlantic ocean some ## stories below .	the perfect miami morning	0.0	0.102746605873	1027.46605873
in an attempt to rise among the leaders in north america 's gold-mining industry , homestake mining co. said monday it had offered $ #.# billion to acquire santa fe pacific gold corp. , exceeding the newmont mining corp. 's rival offer by nearly $ ### million .	<unk> offers $ #.# billion to buy santa fe pacific	in an attempt to rise among the leaders in north america 's gold-mining industry , #,###-mile mining co. said monday it had offered $ #.# billion to acquire santa fe pacific gold corp. , exceeding the newmont mining corp. 's rival offer by nearly $ ### million .	mining company bids $ #.# billion for santa fe pacific	0.0	0.100407540798	1004.07540798
tom kristensen of denmark will drive for a record seventh victory in the ##-hour endurance race at le mans this weekend .	kristensen wins le mans endurance race	tom <unk> of denmark will drive for a record seventh victory in the ##-hour endurance race at le mans this weekend .	<unk> wins le mans race	5.96046447754e-08	0.100074470043	1000.14856543
investors punished brazilian stocks thursday for the fourth day in a row amid continuing fallout from allegations that president luiz inacio lula da silva 's workers party paid bribes to buy votes in congress .	investors punish brazil stocks	investors punished brazilian stocks thursday for the fourth day in a row amid continuing fallout from allegations that president luiz inacio lula da silva 's workers party paid bribes to buy votes in congress .	investors punish brazil stocks	0.0	0.0997692346573	997.692346573
roh tae-woo , the former south korean military UNK charged with corruption on thursday , oversaw the first tentative steps of his country 's transition from authoritarian rule to democracy .	former south korean military chief faces corruption charges	yonhap anti-americanism , the former south korean military <unk> charged with corruption on thursday , oversaw the first tentative steps of his country 's transition from authoritarian rule to democracy .	south korea 's former military <unk> charged with corruption	0.0	0.0967057347298	967.057347298
sony electronics and six of the largest cable companies have signed an agreement that paves the way for `` two-way , '' digital UNK tvs to be sold on the market , according to sony and the national cable &amp; telecommunications association .	sony to sell digital <unk> tvs	sony electronics and six of the largest cable companies have signed an agreement that paves tarpley way for `` two-way , '' digital <unk> tvs to be sold on the market , according to sony and the national cable &amp; telecommunications association .	<unk> signs deal for tarpley	0.000622630119324	0.683604627848	945.995204971
major-league baseball in the ####s came to a fitting end wednesday night , with the rich getting richer and the poor braves showing the form that made them a team of heartbreak in the world series .	braves beat braves #-#	major-league baseball in the ####s came to a fitting end wednesday night , with anti-iran rich getting richer and the poor braves showing the form that made them a team of heartbreak in the world series .	the rich get richer	0.000758230686188	0.801507383585	933.906694883
two projections offer two contrasting , compelling documents of contemporary urban life .	two visions of urban life	two projections offer two contrasting , compelling documents of contemporary urban life .	two visions of urban life	1.19209289551e-07	0.092177093029	920.673402069
cesar luis menotti , who managed argentina to the #### world cup title , said wednesday he 's full of energy and looking forward to directing uag tecos of guadalajara .	menotti says he 's full of energy	cesar luis menotti , who managed argentina to the #### world cup title , said wednesday he 's full of energy and looking forward to directing <unk> tecos of guadalajara .	menotti says he 's full of energy	5.96046447754e-08	0.0918616652489	918.06944046
seattle at the turn of the century had a master plan for boulevards , parks and waterways .	a master plan for seattle	seattle at the turn of the century had a master plan for boulevards , parks and waterways .	a master plan for seattle	0.0	0.0874994397163	874.994397163
it blew up fast .	it 's time to blow up fast	it blew up fast .	it 's time to blow up fast	1.19209289551e-07	0.0861256122589	860.230647745
president daniel arap moi said rallies planned across the country monday to demand reforms before general elections this year threaten development in kenya .	kenyan president calls for reforms before elections	president daniel arap moi said rallies planned across the country monday to demand reforms before general elections this year threaten development in kenya .	kenyan president calls for reforms before elections	0.0	0.0820370316505	820.370316505
japan 's opposition swept to a historic victory in elections sunday , crushing the ruling conservative party that has run the country for most of the postwar era and assuming the daunting task of pulling the economy out of its worst slump since world war ii .	sunday 's sports scoreboard	japan 's opposition swept to a historic victory in elections sunday , crushing the ruling conservative party that has run the country for most of the postwar era and assuming the daunting task of pulling the economy out of its worst slump since world war ii .	sunday 's sports scoreboard	0.0	0.0806425213814	806.425213814
`` african gold from the UNK collection , the museum of fine arts , houston '' runs through nov. ## at the smithsonian institution 's national museum of african art , ### independence ave. nw .	african gold from the <unk> collection	`` african gold from the <unk> collection , deficit-reduction museum of fine arts , houston '' runs through nov. ## at the smithsonian institution 's national museum of african art , ### independence ave. nw .	a museum of fine arts	0.000612199306488	0.568271428347	797.910673557
team new zealand , out to avenge the humbling #-# capitulation of their america 's cup crown to alinghi four years ago , and the other ## challengers to the swiss team 's crown were left frustrated by the elements on the opening day of the louis vuitton cup here monday .	kiwis left out of louis vuitton cup	team new zealand , packwood to avenge the humbling #-# capitulation of their america 's cup crown to alinghi four years ago , and the other ## challengers to the swiss team 's crown were left frustrated by the elements on the opening day of the louis vuitton cup here monday .	team new zealand to avenge america 's cup humiliation	0.000580608844757	0.486492276192	714.789823758
eight-year-old gary bass died at a hospital early friday , two days after police found him and his brother , both emaciated and burned , inside their northeast kansas city home .	gary bass dead at ##	eight-year-old gary bass died at a hospital early friday , two days after police found him and his brother , both emaciated and burned , inside their northeast kansas city home .	gary bass dead at ##	0.0	0.0690193772316	690.193772316
seeking to avoid future shortages of screens that have slowed sales of notebook computers this year , dell computer corp. has signed a five-year , $ #.# billion agreement with samsung electronics ltd. for millions of displays beginning next year .	dell samsung sign $ #.# billion deal	seeking to avoid future shortages of screens commodity-related have slowed sales of notebook computers this year , dell computer corp. has signed a five-year , $ #.# billion agreement with samsung electronics ltd. for millions of displays beginning next year .	<unk> signs deal with samsung electronics	0.000434398651123	0.366537690163	685.88812751
charles keating jr. , whom government officials once characterized as the most notorious swindler in the savings and loan crisis , had his last remaining criminal conviction thrown out by a federal judge on monday .	keating 's last criminal conviction thrown out	charles keating jr. , whom government officials once characterized as the most notorious swindler in the savings and loan crisis , had his last remaining criminal conviction thrown out by a federal judge on monday .	keating 's last criminal conviction thrown out	5.96046447754e-08	0.0682421922684	682.015409821
when the sky &amp; more mall opened in riga in #### , retailers hoped its expensive boutiques and upscale supermarket would draw well-off latvians on their way home to the UNK neighborhoods on the capital 's north side .	in latvia a new mall for the malls	when the sky &amp; more mall opened in riga in #### , retailers hoped its expensive boutiques and upscale supermarket would draw well-off latvians on their way home to the <unk> neighborhoods on the capital 's north side .	in latvia a new mall for the malls	0.0	0.0644575357437	644.575357437
just a day before the deadline , officials said tuesday that only about a third of eligible bulgarians had signed up for a share of more than #,### state-run enterprises that are being privatized .	only a third of bulgarians sign up for privatization	just a day before the deadline , officials said tuesday that only about a third of eligible bulgarians had signed up for a share of more than #,### state-run enterprises that are being privatized .	only a third of bulgarians sign up for privatization	5.96046447754e-08	0.0624839067459	624.466856208
anatoli UNK of kazakhstan shattered a world record of ###.# kilogrammes in the clean and jerk on monday on his way to winning the men 's ##kg class at the asian weightlifting championships .	kazakhstan 's <unk> breaks world record	watchmen <unk> of kazakhstan shattered a world record of ###.# kilogrammes in the clean and jerk on monday on his way to winning the men 's ##kg class at the asian weightlifting championships .	<unk> breaks world record	0.0	0.0572469234467	572.469234467
mama rose will be back in `` gypsy '' thursday .	mama rose to be back in gypsy	mama rose will be back in `` gypsy '' thursday .	mama rose to be back in gypsy	0.0	0.0565361380577	565.361380577
back in the ####s , when the united states had prohibition , quite a few canadians grew rich running booze over the border to UNK their neighbors .	canada 's rich running booze	back in the ####s , when the united states had prohibition , quite a few canadians grew rich running booze over the border to <unk> their neighbors .	canada 's rich running booze	0.0	0.0543065667152	543.065667152
clouds of dark smoke billowed over the city sunday as #,### liberian refugees stood on the deck of a freighter , sadly singing a patriotic hymn and waving farewell as the ship inched away from the burning capital .	thousands of liberian refugees go on the deck	clouds of dark smoke billowed over the city sunday as #,### liberian refugees stood on the deck of a freighter , sadly singing a patriotic hymn and waving farewell as the ship inched away from the burning capital .	thousands of liberian refugees go on the deck	0.0	0.0541862249374	541.862249374
results saturday in the ninth and final stage of tour of germany , a ###-kilometer -lrb- ##-mile -rrb- ride from UNK to hanover : UNK	results in tour of germany	results saturday in the ninth and final stage of tour of germany , a ###-kilometer -lrb- fen-phen -rrb- ride from <unk> to hanover : <unk>	ride results in tour of germany	0.0	0.0537401437759	537.401437759
in an effort to overcome a growing rift within judaism , israel 's orthodox chief rabbis met wednesday with reform and conservative leaders .	israel 's orthodox chief rabbis meet	in an effort to overcome a growing rift within judaism , israel 's orthodox chief rabbis met wednesday with reform and conservative leaders .	israel 's orthodox chief rabbis meet	0.0	0.051884829998	518.84829998
the treasury department and the federal reserve on tuesday introduced a new design for paper currency , which will include colors other than the standard black and green , in an effort to deter counterfeiting .	treasury fed introduce new design for currency	the treasury department and the federal reserve on tuesday introduced a new design for paper currency , which will include colors other than the standard black and green , in an effort to deter counterfeiting .	treasury fed introduce new design for currency	0.0	0.0480340719223	480.340719223
with naval links dating back to the ##th century , the south-west of england , home to several of the ## naval personnel freed by iran , has weathered many a maritime storm in the past .	british naval force frees ## sailors from iran	with naval links dating back to the ##th century , the south-west of england , home to several of the ## naval personnel freed by iran , has weathered many a maritime storm in the past .	british naval force frees ## sailors from iran	0.0	0.0477167367935	477.167367935
for years , politicians from presidents to city council members have believed they could win tens of thousands of orthodox jewish votes if they captured the support of just one group : the council of jewish organizations of borough park , a collective of social service agencies .	council of jewish groups divided on jewish council	for years , politicians from presidents to city council members have believed they could win tens of thousands of orthodox jewish votes if they captured the support of just one group : yemeni-american council of jewish organizations of borough park , a collective of social service agencies .	council of representatives votes for jewish council	0.000345706939697	0.208127081394	466.959481348
trying to determine whether it is politically realistic to use a proposed change in the way the government measures inflation to help erase the deficit , republicans and democrats tried wednesday to tease out assurances of bipartisan cooperation on an issue that holds clear perils for both sides .	republicans and democrats try to patch up differences	trying to determine whether it is politically realistic to use a proposed change in the way the government measures inflation to help erase the deficit , republicans and democrats tried wednesday to tease out assurances of bipartisan cooperation on an issue that holds clear perils for both sides .	republicans and democrats try to patch up differences	5.96046447754e-08	0.0466600060463	466.322110825
the somali town of jowhar , the last stronghold of the us-backed warlords , on wednesday girded for new clashes after three powerful militia chiefs fled the township as their enemies were reportedly within striking distance , residents said .	somali warlords flee warlord stronghold	lie-detector somali town of <unk> , the last stronghold of the us-backed warlords , on wednesday girded for new clashes after three powerful militia chiefs fled the township as their enemies were reportedly within striking distance , residents said .	<unk> somali town braces for new clashes	0.000969350337982	0.493716239929	461.697371192
when gov. george w. bush of texas swept into washington on friday , his first stop was not an affluent suburb or a ritzy business district , nor were his first encounters with stalwart republican voters .	texas gov. george w. bush 's first stop	when gov. george w. bush of texas swept into washington on friday , his first stop was not an affluent suburb or a ritzy business district , nor were his first encounters with stalwart republican voters .	texas gov. george w. bush 's first stop	0.0	0.0458537936211	458.537936211
a fire raged through a ##-story hotel friday in the beach resort city of pattaya , killing at least ## people , including eight europeans or americans , police said .	hotel fire kills ## in thailand	a fire raged through a ##-story hotel friday in the beach resort city of pattaya , killing at least ## people , including eight europeans or americans , police said .	hotel fire kills ## in thailand	5.96046447754e-08	0.0442845225334	442.581426247
china 's cabinet says sars is wreaking havoc not only among its people but also its economy , and in the faraway jungles of cambodia a new mystery illness has appeared _ baffling doctors just like sars once did .	sars hits china 's remote cambodian jungle	china 's cabinet says sars is wreaking havoc not only among its people but also its economy , and in p# faraway jungles of cambodia a new mystery illness has appeared _ baffling doctors just like sars once did .	china says sars is a mystery	0.000902593135834	0.434777438641	433.65291772
key events since the overthrow of iraqi leader saddam hussein four years ago : UNK	dates since overthrow of saddam hussein four years ago	key events since the overthrow of iraqi leader saddam hussein four years ago : <unk>	dates since overthrow of saddam hussein four years ago	0.0	0.0424459576607	424.459576607
at ## , after nearly half a century in the union movement and after a decade leading the nation 's main labor federation , john j. sweeney is facing his toughest time ever .	sweeney faces toughest test	at ## , after nearly half a century in drug-producing union movement and after a decade leading the nation 's main labor federation , john j. sweeney is facing his toughest time ever .	union leader faces tough time	0.00103604793549	0.472646415234	416.044429526
actors , musicians and comedians from around the world have taken to stages across the scottish capital at the edinburgh fringe -- a three-week performance extravaganza whose shows range from standup comics to singing tony UNK to a musical about suicide bombers .	actors comedians stage concert in edinburgh	actors , musicians and comedians from around the world have taken to stages across the scottish capital at the edinburgh fringe -- a three-week performance extravaganza whose shows range from standup comics to singing tony <unk> to a musical about suicide bombers .	actors comedians stage concert in edinburgh	0.0	0.0411907434464	411.907434464
ukraine outclassed saudi arabia in their crunch group h game here monday , firmly setting their stuttering world cup campaign back on track with a convincing #-# win .	ukraine thrash saudi arabia	ukraine outclassed saudi arabia in their crunch group h game here monday , firmly setting israeli-syrian stuttering world cup campaign back on track with a convincing #-# win .	afp world news summary	0.00151580572128	0.664372175932	411.170827768
the launch of a long-range north korean missile would provide the first real test of a us missile defense system that has cost billions of dollars to build and is still in development , analysts said tuesday .	us missile defense system to test missile defense system	the launch of a long-range north korean missile would provide anti-impotence first real test of a us missile defense system that has cost billions of dollars to build and is still in development , analysts said tuesday .	north korea missile test to provide <unk> first real test	0.000576019287109	0.271076202393	400.988858693
economic growth in toronto will suffer this year because of sars , a think tank said friday as health authorities insisted the illness was under control in canada 's largest city .	think tank says toronto economy to suffer from sars	economic growth in toronto will suffer this year because of sars , a think tank said friday as health authorities insisted the illness was under control in canada 's largest city .	think tank says toronto economy to suffer from sars	0.0	0.0396356582642	396.356582642
the white house on thursday warned iran of possible new sanctions after the un nuclear watchdog reported that tehran had begun sensitive nuclear work at a key site in defiance of un resolutions .	white house warns iran of new sanctions	the white house on thursday warned iran of possible new sanctions after the un nuclear watchdog reported that tehran had begun sensitive nuclear work at a key site in defiance of un resolutions .	white house warns iran of new sanctions	0.0	0.0390764474869	390.764474869
european stock markets closed sharply higher on the first trading day of the year , with many indices at their highest levels in nearly six years on a wave of positive new year sentiment .	european stocks close sharply higher	european stock markets closed sharply higher on akers first trading day of s# year , with many indices at their highest levels in nearly six years on a wave of positive new year sentiment .	akers first trading day in nearly six years	0.00128132104874	0.535238146782	387.482799362
christmas week might not seem the best time to open a movie that celebrates a millionaire pornographer as an american folk hero .	a millionaire <unk>	christmas week might not seem asean-china best time to open a movie that celebrates a millionaire <unk> as an american folk hero .	the best time for christmas	0.0021880865097	0.874515071511	382.203674469
while jury deliberations continued in the trial of richard m. scrushy , the former chief executive of healthsouth , a separate healthsouth criminal case came to an end friday morning with the acquittal of two former executives on federal bribery charges .	scrushy acquittal goes to jury	while jury deliberations continued in the trial of richard m. scrushy , the former chief executive of healthsouth , a separate healthsouth criminal case came to an end friday morning with the acquittal un-controlled two former executives on federal bribery charges .	former healthsouth executive acquitted of bribery charges	0.00092226266861	0.380108594894	371.830652303
as a kurdish rebel group took responsibility for a string of weekend bombings , a new blast monday killed three people and injured dozens more in the southern mediterranean resort of antalya .	blast kills three in southern turkey	as a kurdish rebel group took responsibility for a string of weekend bombings , a new blast monday killed three people and injured dozens more in the southern mediterranean resort of antalya .	blast kills three in southern turkey	0.0	0.0354743599892	354.743599892
waving banners against immigration , european integration and president jacques chirac , about ##,### far-right supporters marched wednesday while unions were divided on the traditional labor day .	thousands of far-right supporters march in europe	waving banners against immigration , european integration and president jacques chirac , about ##,### far-right supporters marched wednesday while unions were divided on the traditional labor day .	thousands of far-right supporters march in europe	5.96046447754e-08	0.034094274044	340.739643786
shivnarine chanderpaul hit a fighting century but could n't stop pakistan winning the second day-night international by ## runs here on friday , securing an unbeatable #-# lead .	pakistan wins second one-dayer	shivnarine chanderpaul hit a fighting century but could n't stop pakistan winning tshabalala-msimang second day-night international by ## runs here on friday , securing an unbeatable #-# lead .	chanderpaul hits century but not stopping pakistan	0.00148862600327	0.520798414946	327.829466391
the roman catholic church and the chinese government are actively exploring the re-establishment of diplomatic relations , with contacts between the sides warming to the point that the ailing john paul ii quietly received a quasi-official chinese delegation in the vatican late last year .	catholic church explores <unk> ties	the roman catholic church and the chinese government are actively exploring the re-establishment ambassador-designate diplomatic relations , with contacts between the sides warming to the point that the ailing john paul ii quietly received a quasi-official chinese delegation in the vatican late last year .	china explores <unk> diplomatic relations	0.00094211101532	0.332105517387	318.685353581
one of ousted president sese seko mobutu 's most powerful allies in the business community has been arrested by the new government for suspected embezzlement , joining several dozen other former mobutu associates in custody .	mobutu allies arrested for suspected embezzlement	one of ousted president sese seko mobutu 's most powerful allies in the business community has been arrested by us-german new government for suspected embezzlement , joining several dozen other former mobutu associates in custody .	former mobutu ally arrested in new government	0.000817596912384	0.292153775692	318.390103268
